num,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
56348,158494860,286.4063757,47.20559844,13.3898,0.524322,1683.821585,0.00966,0.261594732,14,2,3,1.40928,1,5628,4.14007,31.89407,-0.8112
56375,7618883,287.0321364,42.29352913,12.9891,2.609608,1684.069378,0.00039,0.243032793,14,2,3,1.40287,1.14,6091.15,4.20094,11.47425,0.32764
56385,158721751,287.0204323,47.86425251,12.7499,1.275711,1684.021107,0.0096,0.161377442,14,2,3,0.632345,0.804,4908.4,4.74142,11.57258,0.19562
56403,230298048,287.3448615,44.77272025,12.698,13.954037,1695.161841,0.00369,0.162424991,14,2,3,8.60205,,4510.98,,11.38316,0.19054
56405,157763736,287.4979383,47.16975614,11.7267,0.343072,1683.60996,0.00402,0.0691393,14,2,3,4.01426,,4964.38,,27.03972,-0.01842
56443,48189126,287.8832051,42.71671281,12.3789,0.357655,1683.485126,0.039,0.071273488,14,2,3,1.61208,1.05,5841.66,4.04448,24.14575,-0.01921
56455,122711253,288.2556144,46.8151232,13.0661,1.875711,1684.179467,0.00831,0.241385249,14,2,3,1.07566,1.03,5769.39,4.38755,110.96751,0.44927
56470,1716719872,288.4415576,45.60901705,11.2295,0.08335,1683.48467,0.00161,0.000437588,14,2,3,3.64324,,5715.96,,9.07988,0.24725
56478,336123695,288.5677938,43.56522785,13.1913,0.350711,1683.763119,0.00034,0.031546454,14,2,3,11.7997,,4605.92,,9.44768,0.19069
56482,121865891,288.7363885,43.27042104,12.5111,1.236128,1684.529882,0.51285,0.244839873,14,2,3,40.7091,,4088.05,,531.05505,0.47528
56483,122712110,288.7723635,43.29248318,11.8581,0.365989,1683.774305,0.04865,0.180183704,14,2,3,,,5742.63,,93.78083,-1.01731
56497,159386347,288.8136103,46.24830989,9.5158,0.404183,1683.780248,0.01573,0.204674229,14,2,3,3.01305,2.27,8985,3.83608,88.98802,-1.3748
56509,289244656,289.066147,44.54758935,13.0747,13.700696,1695.745682,0.01154,0.263464384,14,2,3,1.45653,1.24,6307.01,4.20485,32.17894,0.13686
56519,383750218,289.1354764,44.49833133,12.1123,0.30835,1683.676105,0.01606,0.104447396,14,2,3,5.03056,,4817.12,,72.85655,-0.6232
56531,351909114,289.4379797,45.53836211,13.1214,11.757336,1691.830047,0.12852,0.328852688,14,2,3,1.62674,1.03,5774.03,4.02827,29.93655,0.31708
56532,121330390,289.3619705,46.89933605,10.0896,3.589409,1685.977123,0.14372,0.110769162,14,2,3,1.93897,1.1,5994.68,3.90432,66.25157,0.44199
56543,158272579,289.730413,44.04861839,12.6713,0.521544,1683.507771,0.0046,0.072969221,14,2,3,0.913035,1.02,5719.14,4.52569,13.42482,0.13182
56592,48420431,290.640793,43.76739404,11.7139,7.048131,1687.481239,0.08733,0.275440959,14,2,3,2.81042,,4901.18,,230.76107,0.39805
56608,267544766,291.0028536,43.71089329,11.6998,0.431267,1683.840265,0.00516,0.1113057,14,2,3,1.18304,1.04,5786.1,4.3091,27.27142,0.38028
56650,336255170,282.9712568,47.57684827,13.3009,2.131377,1684.110273,0.00053,0.202033226,14,2,3,3.08548,,5043.09,,9.13513,0.16903
56659,123228511,283.1256579,44.19322342,12.8144,1.293767,1683.678105,0.00983,0.264148408,14,2,3,0.889334,0.9,5274.19,4.49418,25.21535,0.45123
56668,164527781,283.2919019,47.5293031,12.7504,5.068482,1684.939275,0.0159,0.200255724,14,2,3,1.65785,1.11,6000.51,4.0443,48.74837,0.36684
56693,289323270,283.8988722,42.06027433,5.43331,13.381395,1696.724567,0.12586,0.200185669,14,2,3,24.154,,4438,,18.02697,0.1825
56726,351910226,284.5273443,43.50389844,12.0891,3.132228,1686.534038,0.00153,0.138507122,14,2,3,1.16388,1.12,6033.07,4.35547,11.43087,0.18146
56737,336206280,284.643348,47.63485266,13.2145,0.704878,1683.789145,0.00739,0.079312873,14,2,3,4.48163,,4850,,21.57323,0.39162
56766,137090639,285.1827792,43.83108472,10.2174,0.1896,1683.557264,0.00479,0.089997432,14,2,3,1.46624,1.288,6407.65,4.21557,30.09035,-0.67974
56773,7900437,285.2886798,43.3416226,8.9439,0.322933,1683.447688,0.01584,0.022863656,14,2,3,12.8779,,4419,,14.88137,0.02794
56797,121328360,276.6616801,42.71789184,13.3594,0.741683,1684.044195,0.00642,0.127502725,14,2,3,1.71737,0.97,5529,3.95511,18.69966,-0.02213
56808,390052501,283.5168963,39.28757327,13.4112,0.648628,1683.789582,0.00438,0.062080186,14,2,3,1.3957,1.02,5737,4.15709,11.0976,0.13071
56813,289245632,283.5313819,37.62449417,11.4442,3.339143,1684.704697,0.00265,0.237079153,14,2,3,10.1402,,4942,,10.07914,0.17578
56818,399866404,283.0343074,41.33892456,12.9002,0.366683,1683.567562,0.01033,0.043954291,14,2,3,1.14541,1.24,6316.65,4.41356,10.40848,0.08549
56821,121014908,282.9761933,39.65909152,12.7743,2.355261,1683.620664,0.00489,0.075886509,14,2,3,9.6099,,4747,,12.01049,0.22834
56831,123232084,284.433678,50.11173632,13.2101,0.328489,1683.521227,0.00165,0.047808289,14,2,3,1.41142,1.27,6362.86,4.24256,11.55337,0.00993
56835,159577856,284.4947311,48.43135198,11.0082,0.647239,1683.528095,0.0011,0.076134724,14,2,3,2.91249,1.28,6384.84,3.61675,9.25364,0.06093
