epicid,ra,dec,kepmag,period,t0,duration,campaign,label
219618204,[[287.1212463]],[[-16.2895222]],[[16.217]],1.959851639,2469.152545,1.111918002,7, J
219619236,[[288.4773865]],[[-16.2867928]],[[15.97]],1.961071123,2469.121325,0.980219175,7, J
219619241,[[288.3839111]],[[-16.2867737]],[[16.205]],34.31086993,2491.696843,1.651718028,7, J
219619963,[[288.3179626]],[[-16.2850304]],[[18.253]],3.918107516,2471.165579,0.378134508,7, J
219622789,[[288.731781]],[[-16.2777061]],[[16.243]],27.82181984,2494.4648,13.66393485,7, J
219624046,[[288.3268433]],[[-16.2742157]],[[14.492]],15.67408218,2473.120204,1.783382794,7, J
219624311,[[289.4330139]],[[-16.2735081]],[[17.999]],3.849077519,2470.551226,2.833437023,7, J
219624547,[[289.5407715]],[[-16.2728729]],[[8.4]],17.8989487,2485.827106,1.423013827,7, J
219625892,[[287.5513306]],[[-16.2692699]],[[15.497]],15.2233366,2474.466646,1.534238678,7, J
219626912,[[288.9242554]],[[-16.2666817]],[[18.58]],0.245116144,2468.645921,0.141186899,7, J
219628008,[[287.6204529]],[[-16.2637539]],[[12.453]],1.959341374,2469.183323,2.732740755,7, J
219628487,[[288.3118591]],[[-16.2624474]],[[16.23]],0.245116174,2468.645883,0.141186916,7, J
219630017,[[288.3753967]],[[-16.2583065]],[[17.26]],5.880658998,2473.099713,0.381998987,7, J
219631666,[[288.2284241]],[[-16.2540531]],[[13.495]],30.86399699,2496.640365,2.123708497,7, J
219633696,[[288.5717468]],[[-16.2486439]],[[17.795]],0.245116144,2468.645899,0.141186899,7, J
219635170,[[287.9268188]],[[-16.2444897]],[[15.524]],0.245116219,2468.645859,0.141186942,7, J
219636512,[[288.8808899]],[[-16.2408962]],[[16.885]],30.2682796,2495.751002,1.963608391,7, J
219636657,[[288.0950928]],[[-16.2405148]],[[17.004]],1.961073213,2469.12324,0.921283785,7, J
219640883,[[289.510376]],[[-16.2291679]],[[13.405]],9.632810729,2473.489556,3.025290513,7, J
219642074,[[287.7647095]],[[-16.2258854]],[[14.885]],0.245231092,2468.614043,0.282506218,7, J
219646603,[[288.2237549]],[[-16.2132206]],[[13.318]],17.64372933,2484.857024,0.25,7, J
219651401,[[287.8842468]],[[-16.2000294]],[[16.46]],0.245116219,2468.665466,0.141186942,7, J
219651476,[[287.9446106]],[[-16.1998081]],[[15.676]],17.64352456,2484.846846,0.912778893,7, J
219653308,[[287.8345337]],[[-16.1947708]],[[13.093]],0.245116234,2468.645853,0.141186951,7, J
219655325,[[288.7428894]],[[-16.1892681]],[[15.723]],3.922721778,2471.081633,0.704306082,7, J
219655998,[[289.0360413]],[[-16.1874504]],[[9.761]],30.22129911,2497.993238,4.49438522,7, J
219659896,[[289.3907166]],[[-16.1769238]],[[13.141]],1.959847753,2469.172196,1.555943931,7, J
219660395,[[288.9246216]],[[-16.1755791]],[[18.287]],3.919637988,2471.121893,1.253887732,7, J
219661048,[[288.355896]],[[-16.1737881]],[[17.886]],0.245116159,2468.645886,0.141186908,7, J
219661113,[[288.5540466]],[[-16.1735859]],[[16.52]],11.26219543,2475.070471,1.479124235,7, J
219662958,[[289.4559021]],[[-16.1685619]],[[16.467]],5.877978162,2473.094846,1.353344274,7, J
219663214,[[288.9206238]],[[-16.1678753]],[[15.7]],1.959235494,2469.185951,0.912008255,7, J
219667253,[[287.8178711]],[[-16.1568508]],[[12.749]],38.94028085,2488.546419,2.282706376,7, J
219668553,[[288.2047424]],[[-16.1531868]],[[13.749]],0.245116174,2468.645876,0.141186916,7, J
219669168,[[288.8581543]],[[-16.1514111]],[[14.259]],0.245257199,2468.592052,0.141268147,7, J
219670379,[[288.6250916]],[[-16.1480618]],[[12.128]],27.99119463,2494.806277,8.744249508,7, J
219670950,[[288.6202698]],[[-16.1464863]],[[14.651]],1.961070805,2469.140091,1.001938518,7, J
219671215,[[288.2098999]],[[-16.1458092]],[[17.789]],0.245116174,2468.645877,0.141186916,7, J
219671731,[[288.9277954]],[[-16.1444283]],[[17.39]],0.248163819,2468.707462,0.14294236,7, J
219673190,[[287.980011]],[[-16.1405182]],[[17.37]],0.245231113,2468.616893,0.472208038,7, J
219673742,[[287.8927002]],[[-16.1390629]],[[16.864]],0.245230998,2468.616214,0.418968365,7, J
219675588,[[288.6723022]],[[-16.133934]],[[13.479]],13.72151004,2478.967753,1.239964599,7, J
