,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
18028,136138161,305.410916419,31.8233530019,11.1521,1.706267,1684.90225,0.00165,0.16758954474,15,1,2,3.0751,1.79,7644.0,3.7152,10.68039,0.15585
18031,136138229,305.379886159,31.8132716636,13.4004,0.175711,1683.742048,0.00604,0.02181100643,15,1,2,4.8678,1.17,6153.0,3.13159,9.03688,0.16697
18032,136138237,305.416626617,31.8123759115,13.2767,1.134044,1684.394031,0.00983,0.08347697884,15,1,2,14.9371,,4560.0,,9.85803,0.17372
18033,136138247,305.485846907,31.8111170309,12.0503,0.559739,1684.244211,0.00614,0.13972204918,15,1,2,0.866408,1.062,5869.0,4.58875,54.28262,0.42917
18034,136138276,305.472571063,31.8060609683,13.2217,0.559739,1684.244521,0.01383,0.14983653291,15,1,2,17.021,,4080.0,,40.94088,0.43585
18036,136138296,305.47119264,31.8027117858,13.2651,0.559739,1684.239261,0.00934,0.0782515122,15,1,2,0.918954,0.632,4042.0,4.3122,16.64836,0.03884
18052,136138987,305.379996588,31.693359094,10.9098,2.061822,1685.67323,0.0019,0.17364664884,15,1,2,5.60774,,5463.0,,17.64425,0.19712
18055,136139115,305.405198071,31.6746571957,13.2587,2.061822,1685.669999,0.05503,0.23638789229999999,15,1,2,16.9966,,4223.0,,89.41051,0.40038
18063,136139475,305.425689737,31.6204225776,10.3639,0.279878,1683.948152,0.00064,0.029501939980000003,15,1,2,32.3618,,4039.0,,11.84593,0.17479
18067,136139563,305.45837513,31.6102251261,12.2121,0.279878,1683.94931,0.00602,0.06872964046,15,1,2,7.32748,,7377.0,,36.6741,0.50642
18075,136139928,305.472978494,31.5613528984,10.1409,0.104183,1683.713661,0.0007,0.0041464834,15,1,2,1.78884,1.637,7265.0,4.14697,11.85872,0.22451
18082,136191824,305.376432057,31.5184564824,13.4067,0.371544,1683.713998,0.00613,0.09471771191999999,15,1,2,20.3015,,4346.0,,14.09031,0.12503
18084,136191848,305.497896737,31.5150924484,12.23,0.9021,1683.894756,0.59782,0.1759095,15,1,2,2.15237,1.55,7043.0,3.96257,289.16225,0.4227
18085,136191877,305.488845676,31.5127031303,13.1434,0.9021,1683.894132,2.15224,0.14743020299999998,15,1,2,11.6628,,4548.0,,245.38583,0.44056
18102,136192739,305.415844215,31.3946867924,12.9872,0.413211,1684.000428,0.00838,0.09583189512,15,1,2,58.7575,,4293.0,,22.02557,0.41933
18103,136192740,305.387217764,31.3946474642,11.0938,1.531961,1684.25458,0.00264,0.18939633843,15,1,2,5.40574,,9793.0,,11.68537,0.18769
18117,136193412,305.467564378,31.2998604703,13.1848,0.490294,1683.830893,0.02462,0.34805480766,15,1,2,1.88166,1.44,6735.0,4.04735,82.62599,-3.64169
18124,136193535,305.506346416,31.2831137427,12.6926,0.823628,1683.861346,0.01489,0.13377365976000002,15,1,2,2.98967,1.49,6874.0,3.66001,14.26028,-0.06821
18126,136193580,305.440355488,31.2775009021,11.3776,6.720415,1690.175331,0.00664,0.1788974473,15,1,2,2.03927,,7983.0,,10.70966,0.15138
18137,136193987,305.399682662,31.2128248742,12.8356,3.733307,1714.821607,0.02685,0.15123626657,15,1,2,1.1663,1.04,5811.0,4.32148,30.23475,0.38786
18138,136194015,305.413633075,31.2080818484,13.3269,3.735272,1714.81318,0.03777,0.17406367520000002,15,1,2,1.36479,1.1,5980.0,4.20933,30.47544,0.50045
18140,136194039,305.417447522,31.2048836617,13.3028,3.735272,1714.814594,0.01761,0.13906417656,15,1,2,5.07146,,4979.0,,14.02991,0.21163
18147,136194324,305.44659382,31.1661546941,12.1217,0.315989,1711.675622,0.00195,0.03667052345,15,1,2,15.3643,,4513.0,,9.11877,0.14481
18149,136194448,305.459276909,31.1494644454,12.6974,0.315989,1711.682636,0.00388,0.04968295047000001,15,1,2,22.8329,,4479.0,,12.4845,0.04394
18174,136195222,305.511025632,31.0401038396,11.3355,0.856961,1711.857166,0.00305,0.08701581994,15,1,2,11.9749,,4986.0,,9.08989,0.17675
18232,136197043,305.466796224,30.7896591884,13.4876,1.266683,1712.333263,0.00657,0.12532561602,15,1,2,9.58903,,4553.0,,10.17564,0.16108
18237,136197179,305.507827359,30.767852879,11.9731,0.209739,1711.572904,0.00163,0.07114976097,15,1,2,2.17509,1.41,6669.0,3.91233,17.21027,-0.35425
18241,136197289,305.373133769,30.753393598,10.8005,0.185433,1711.59984,0.0008,0.02979352011,15,1,2,1.98966,2.52,9875.0,4.24191,10.01699,0.08754
