time, circaper5, circaper0
2797.8909,0.99928457,0.99802036
2797.9113,0.99833402,0.99727421
2797.9318,0.99980028,0.99751798
2797.9726,0.99865891,0.99750645
2797.9931,0.99932841,0.99749777
2798.0135,0.99865773,0.99765421
2798.0339,0.99878778,0.99759437
2798.0544,0.99848203,0.99704476
2798.0748,0.99963604,0.99772432
2798.0952,0.99815757,0.99746746
2798.1157,0.99889497,0.9974519
2798.1361,0.99895735,0.99727913
2798.1565,0.99838328,0.99711166
2798.177,0.99966838,0.99748954
2798.2178,0.99872236,0.99758888
2798.2383,0.99898495,0.9977661
2798.2587,0.9976737,0.99716891
2798.2791,0.99891218,0.997562
2798.2995,0.99878727,0.99786559
2798.32,0.99808375,0.99723002
2798.3404,0.99893221,0.99732908
2798.3608,0.99866395,0.99727625
2798.3813,0.99831831,0.99724474
2798.4017,0.99756424,0.99703798
2798.4221,0.99802205,0.99711804
2798.463,0.99869922,0.997421
2798.4834,0.99846125,0.99726712
2798.5039,0.99828541,0.99704061
2798.5243,0.99789271,0.99735322
2798.5447,0.99663269,0.99654965
2798.5652,0.99904631,0.99770252
2798.5856,0.99853316,0.99725325
2798.606,1.0000318,0.99825374
2798.6265,0.99812761,0.9971092
2798.6469,0.99819294,0.99761653
2798.6673,0.99843966,0.99742736
2798.7082,0.997713,0.99717769
2798.7286,0.99757953,0.99689733
2798.749,0.99749671,0.99661813
2798.7695,0.99815911,0.99686324
2798.7899,0.99873926,0.99716584
2798.8103,0.99856167,0.99761966
2798.8308,0.99746768,0.99698394
2798.8512,0.99877611,0.99736252
2798.8716,0.99738432,0.99666961
2798.8921,0.99703063,0.99713217
2798.9125,0.99779935,0.99711093
2798.9534,0.9982553,0.99684174
2798.9738,0.99800187,0.99670878
2798.9942,0.99880065,0.99721722
2799.0147,1.0008105,0.99737418
2799.0351,0.99700529,0.99681883
2799.0555,0.9980621,0.99695799
2799.076,0.99889122,0.99661699
2799.0964,0.99827558,0.99707149
2799.1168,0.9985809,0.99737299
2799.1372,0.99897093,0.99710615
2799.1577,0.99733222,0.99699737
2799.1985,0.99957073,0.99694293
2799.219,0.99831879,0.99685569
2799.2394,0.99757757,0.99680904
2799.2598,0.99858937,0.99678494
