#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008552540-sec,8552540,1.061935,54.635939,2.7831,0.2429,KEB,10.292,2,-11.5,0.674,0.675,1,59.3,44,13,4,188,390,41,13,1,356,218,42,13,2,184,387,43,13,3,360,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.01,8552498,0.530968,66.84843,2.3412,0.000216,KOI,13.586,0.5,24,5.252,4.069,1,59.3,44,13,4,175,382,41,13,1,349,205,42,13,2,171,380,43,13,3,353,202
008552540-pri,8552540,1.061935,54.105184,2.7347,0.4008,KEB,10.292,2,-12,0.674,4.22,1,59.3,44,13,4,188,390,41,13,1,356,218,42,13,2,184,387,43,13,3,360,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4254.01,8487645,0.530991,64.697,2.1,0.000016,KOI,12.717,0.5,120,3.862,2.199,1,125.7,44,13,4,157,390,41,13,1,357,186,42,13,2,153,387,43,13,3,361,184
T-Lyr1-00359-pri,8552540,1.061922,0.99289,0,0.414401,GEB,10.292,2,-60,0.675,2.557,1,125.7,44,13,4,188,390,41,13,1,356,218,42,13,2,184,387,43,13,3,360,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4254.01,8487645,0.530991,64.697,2.1,0.000016,KOI,12.717,0.5,121,3.862,2.2,1,125.7,44,13,4,157,390,41,13,1,357,186,42,13,2,153,387,43,13,3,361,184
T-Lyr1-00359-sec,8552540,1.061922,0.46189,0,0.237921,GEB,10.292,2,-60.5,0.675,0.691,1,125.7,44,13,4,188,390,41,13,1,356,218,42,13,2,184,387,43,13,3,360,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646.01,6044553,0.532089,64.91116,2.2726,0.000374,KOI,15.397,1,0,4.576,2.758,1,16.9,24,8,4,584,588,40,12,4,587,588,64,18,4,589,584,48,14,4,584,584
006044543-pri,6044543,0.532086,64.914251,2.2194,0.3252,KEB,13.764,1,0,4.576,2.758,1,16.9,24,8,4,588,589,40,12,4,592,589,64,18,4,593,585,48,14,4,588,585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4168.01,9402583,0.536534,65.0348,1.18,0.000144,KOI,15.89,0.5,120,3.93,2.057,1,86.9,41,13,1,69,233,42,13,2,199,100,43,13,3,73,230,44,13,4,203,103
V2281-Cyg-pri,9402652,1.073114,0.629423,0,0.369043,GEB,11.823,2,-60,0.675,2.38,1,86.9,41,13,1,47,233,42,13,2,199,78,43,13,3,52,230,44,13,4,203,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4168.01,9402583,0.536534,65.0348,1.18,0.000144,KOI,15.89,0.5,19,3.986,2.232,1,86.9,41,13,1,69,233,42,13,2,199,100,43,13,3,73,230,44,13,4,203,103
009402652-sec,9402652,1.073104,54.826918,3.5309,0.3516,KEB,11.823,2,-9.5,0.675,0.694,1,86.9,41,13,1,47,233,42,13,2,199,78,43,13,3,52,230,44,13,4,203,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
