Type,FPKOI,FPKIC,Name,KIC,PRatio,Dist,DelRow,DelCol,m2mag,DelMag,DRatio,Flag
Direct PRF,3409.01,9468382,009468384-pri,9468384,1:1,9.4,-1,2,16.41,-2.85,2.11E+02,0
Direct PRF,3442.01,9837586,009837578-pri,9837578,1:1,5.4,-1,-1,15.73,1.75,3.37E+00,0
Direct PRF,3446.01,2852528,002852560-pri,2852560,1:1,17.4,0,-4,15.31,0.4,5.20E+02,0
Direct PRF,3450.01,8560940,008560861-pri,8560861,1:1,94.7,-14,-20,8.5,6.04,4.92E+02,0
Direct PRF,3453.01,4932689,004932691-pri,4932691,1:1,16.9,-4,2,13.63,1.93,2.78E+02,0
Direct PRF,3457.01,9834257,3568.01,9773869,1:1,7,0,-1,16.67,-4.24,1.31E+02,0
Direct PRF,3461.01,2437112,3598.01,2437149,1:1,19.7,-5,1,17.63,-1.48,9.11E+02,0
Direct PRF,3485.01,5471289,V380-Cyg-pri,5385723,1:1,220.1,55,-5,5.77,9.16,1.49E+03,0
Direct PRF,3499.01,5471688,V380-Cyg-pri,5385723,1:1,248.6,13,61,5.77,9.29,7.67E+02,0
Direct PRF,3499.02,5471688,005471619-pri,5471619,1:1,58.9,-5,13,12.37,2.69,4.94E+03,0
Direct PRF,3502.01,5385471,V380-Cyg-pri,5385723,1:1,166.8,15,-39,5.77,10.22,7.51E+02,0
Direct PRF,3504.01,5471158,V380-Cyg-pri,5385723,1:1,207.3,27,-44,5.77,9.95,6.53E+02,0
Direct PRF,3505.01,4847843,004847832-sec,4847832,1:1,17.4,-2,-3,12.45,0.96,6.68E+02,0
Direct PRF,3509.01,3439096,003439031-sec,3439031,1:2,45.4,6,9,11.29,2.51,1.52E+03,0
Direct PRF,3564.01,10960995,1284.01,10960993,1:2,4.8,1,0,11.4,3.1,5.17E-02,1
Direct PRF,3586.01,7376490,3535.01,7376500,1:1,5.4,-1,0,15.18,-2.03,1.39E+01,0
Direct PRF,3591.01,6182846,3512.01,6182849,1:1,8.2,-2,1,13.72,1.08,5.13E+00,0
Direct PRF,3592.01,9851126,3513.01,9851142,1:1,21.4,1,5,7.63,5.55,1.80E+00,0
Direct PRF,3596.01,9025914,43.01,9025922,1:1,8.4,-2,-1,13.29,3.47,2.11E-02,1
Direct PRF,3615.01,3735634,003735629-pri,3735629,1:2,6.8,0,-2,16.14,-2.23,2.78E+01,0
Direct PRF,3619.01,8095110,008095099-pri,8095099,1:2,5.4,2,0,14.17,-1,8.50E+00,0
Direct PRF,3628.01,3542574,003542573-pri,3542573,1:2,10,-2,1,12.16,6.87,1.09E+00,0
Direct PRF,3632.01,3335813,003335816-pri,3335816,1:2,8.3,-2,1,12.08,1.71,2.66E+00,0
Direct PRF,3635.01,3327992,003327980-pri,3327980,1:2,9.1,-2,-1,12.12,3.46,6.74E+00,0
Direct PRF,3637.01,5193384,005193386-pri,5193386,1:1,8.2,1,1,14,5.07,4.11E-01,2
Direct PRF,3639.01,10491544,010491554-sec,10491554,1:1,4.4,1,1,15.02,-1.58,1.12E+01,0
Direct PRF,3667.01,11200767,011200773-pri,11200773,1:1,6.3,-2,1,13.67,-0.3,6.07E+00,0
Direct PRF,3668.01,8589731,008589754-pri,8589754,1:2,19.9,4,4,14,-0.76,8.49E+01,0
Direct PRF,3693.01,7695087,007695093-pri,7695093,1:1,8.5,-1,2,13.86,0.87,3.26E+01,0
